mmr,kills,deaths,assists,kda,gold_per_min,xp_per_min,last_hits,denies,lane_efficiency_pct,duration,level,hero_damage,tower_damage,hero_healing,stuns,tower_kills,neutral_kills,courier_kills,purchase_tpscroll,purchase_ward_observer,purchase_ward_sentry,purchase_gem,purchase_rapier,pings,throw,comeback,stomp,loss,actions_per_min,account_id,wins,losses,games_played,rating
6090.0,5.022471910112358,8.280898876404494,13.213483146067414,2.0786516853932584,407.40449438202245,560.5955056179776,115.93258426966291,5.640449438202247,51.64367816091954,1895.8539325842694,19.235955056179773,16888.76404494382,1218.1797752808986,1522.370786516854,27.881336308390804,0.6551724137931034,29.79310344827586,0.3103448275862069,6.0705882352941165,8.567567567567568,10.266666666666667,1.0,0.0,19.076923076923077,4827.4,3585.0,7245.2619047619055,6474.88888888889,242.51724137931038,165055475,43,44,87,1029.72
5773.0,6.578059071729957,8.375527426160337,12.575949367088606,2.073839662447257,388.85864978902947,500.60759493670884,150.68987341772154,5.962025316455697,53.6304347826087,2470.3291139240505,20.39451476793249,19825.404761904763,1499.807142857143,1193.854761904762,29.5435273054348,0.8913043478260869,45.77173913043478,0.22826086956521735,6.670329670329671,3.0769230769230766,1.9444444444444444,0.0,0.0,17.21590909090909,4522.877551020408,3501.6279069767443,7525.651162790698,8254.69387755102,126.95652173913044,220136159,43,44,87,1029.72
6090.0,7.516853932584269,6.146067415730338,8.98876404494382,2.348314606741573,498.47191011235947,663.7528089887641,210.56179775280896,9.629213483146067,68.94252873563218,1895.8539325842694,21.15730337078652,24094.23595505618,3219.123595505618,1013.5168539325842,19.898410656321843,1.4942528735632183,81.66666666666667,0.14942528735632185,4.266666666666667,2.45,3.0909090909090913,0.0,0.0,7.208955223880597,4827.4,3585.0,7245.2619047619055,6474.88888888889,176.68965517241378,188706189,43,44,87,1029.72
4896.0,6.448275862068965,7.051724137931035,11.89655172413793,2.1379310344827585,463.67241379310343,652.2068965517243,179.91379310344828,8.051724137931034,64.3157894736842,2000.4827586206893,21.5,22975.0,2390.8793103448274,1620.4137931034486,21.226915247368414,1.1052631578947372,65.15789473684211,0.21052631578947367,5.245614035087719,4.024390243902439,6.454545454545454,0.0,0.0,14.020833333333336,5419.580645161291,3403.5,7516.923076923077,6467.290322580645,181.63157894736838,225364949,43,44,58,1029.72
5008.0,6.163120567375888,8.02127659574468,14.120567375886527,2.4397163120567376,397.68794326241135,535.7801418439716,140.645390070922,4.3617021276595755,64.07692307692308,2376.9361702127662,20.98581560283688,21808.92307692308,1735.6923076923074,434.6923076923077,27.91479430192308,1.0384615384615383,58.57692307692307,0.1346153846153846,5.12,4.0,4.235294117647058,0.0,0.0,10.116279069767442,5857.555555555556,3516.48,7378.56,6137.925925925926,113.07692307692308,367017690,43,44,52,1029.72
6035.0,6.27027027027027,7.243243243243242,10.594594594594595,2.135135135135135,459.2162162162162,613.918918918919,156.1891891891892,9.567567567567568,65.51428571428572,1741.2702702702704,19.45945945945946,20632.0,2133.2702702702704,1494.7027027027027,27.434366394285718,0.9142857142857144,53.74285714285714,0.22857142857142854,6.375,4.0,3.083333333333333,0.0,0.0,12.411764705882351,3282.166666666666,3685.7647058823527,7049.235294117647,6980.333333333332,138.42857142857142,261192588,43,44,35,1029.72
6464.0,11.470187393526404,5.1925042589437815,11.453151618398635,5.045996592844975,572.6678023850085,596.1959114139694,205.11243611584328,12.211243611584328,68.53982300884954,2150.577512776832,20.223168654173765,23051.36797274276,2898.487223168654,407.14480408858606,27.051315421371694,1.663716814159292,46.079646017699105,0.1946902654867257,6.925233644859812,3.321428571428572,4.222222222222221,0.0,0.0,25.56637168141593,1985.8666666666666,2077.5294117647063,21462.941176470587,18276.422222222223,237.62831858407083,320666459,43,44,29,1029.72
4383.0,7.955056179775281,6.808988764044943,9.820224719101123,2.4831460674157304,547.8089887640449,667.2022471910112,264.5168539325843,9.359550561797754,67.32584269662921,2138.7977528089887,21.75280898876405,28491.471910112363,4070.764044943821,221.07865168539325,24.15938689550561,1.853932584269663,111.48314606741572,0.1348314606741573,6.6913580246913575,1.6666666666666667,3.2222222222222223,0.0,0.0,7.027777777777778,4524.833333333333,4746.212765957447,9281.68085106383,8535.095238095239,197.30337078651687,1025744545,42,36,78,1044.83
4383.0,9.314606741573034,5.876404494382022,10.460674157303373,2.9775280898876404,569.9775280898876,718.1460674157304,272.5280898876405,14.966292134831463,76.15730337078651,2138.7977528089887,22.696629213483142,29890.449438202246,3338.123595505618,389.8426966292135,31.41919652696629,1.5842696629213484,89.87640449438204,0.21348314606741567,7.2857142857142865,2.203703703703704,3.2666666666666666,0.0,1.0,17.08,4524.833333333333,4746.212765957447,9281.68085106383,8535.095238095239,262.86516853932585,1026060540,42,36,78,1044.83
4383.0,7.595505617977527,7.438202247191012,12.797752808988767,2.3146067415730336,505.4831460674157,641.4831460674158,222.19101123595505,12.370786516853931,69.7752808988764,2138.7977528089887,21.348314606741575,26580.1797752809,2316.595505617977,619.629213483146,29.64839530786516,1.2134831460674158,70.10112359550561,0.2696629213483146,6.697674418604652,4.375,6.727272727272728,1.0,0.0,10.96341463414634,4524.833333333333,4746.212765957447,9281.68085106383,8535.095238095239,135.46067415730334,1025553404,42,36,78,1044.83
